"Title","Authors","Year","Type","DOI","Abstract","Keywords"
"Gene discovery and differential expression analysis of humoral immune response elements in female Culicoides sonorensis (Diptera: Ceratopogonidae)","Nayduch D, Lee MB, Saski CA",2014,"Article","10.1186/1756-3305-7-388","Background: Female Culicoides sonorensis midges (Diptera: Ceratopogonidae) are vectors of pathogens that impact livestock and wildlife in the United States. Little is known about their biology on a molecular-genetic level, including components of their immune system. Because the insect immune response is involved with important processes such as gut microbial homeostasis and vector competence, our aims were to identify components of the midge innate immune system and examine their expression profiles in response to diet across time. Methods: In our previous work, we de novo sequenced and analyzed the transcriptional landscape of female midges under several feeding states including teneral (unfed) and early and late time points after blood and sucrose. Here, those transcriptomes were further analyzed to identify insect innate immune orthologs, particularly humoral immune response elements. Additionally, we examined immune gene expression profiles in response to diet over time, on both a transcriptome-wide, whole-midge level and more specifically via qRTPCR analysis of antimicrobial peptide (AMP) expression in the alimentary canal. Results: We identified functional units comprising the immune deficiency (Imd), Toll and JAK/STAT pathways, including humoral factors, transmembrane receptors, signaling components, transcription factors/regulators and effectors such as AMPs. Feeding altered the expression of receptors, regulators, AMPs, prophenoloxidase and thioester-containing proteins, where blood had a greater effect than sucrose on the expression profiles of most innate immune components. qRTPCR of AMP genes showed that all five were significantly upregulated in the alimentary canal after blood feeding, possibly in response to proliferating populations of gut bacteria. Conclusions: Identification and functional insight of humoral/innate immune components in female C. sonorensis updates our knowledge of the molecular biology of this important vector. Because diet alone influenced the expression of immune pathway components, including their effectors, subsequent study of the role of innate immunity in biological processes such as gut homeostasis and life history are being pursued. Furthermore, since the humoral response is a key contributor in gut immunity, manipulating immune gene expression will help in uncovering genetic components of vector competence, including midgut barriers to infection. The results of such studies will serve as a platform for designing novel transmission-blocking strategies. © 2014 Nayduch et al.; licensee BioMed Central Ltd.","attacin; biting midge; cecropin; defensin; imd; innate immunity; jak/stat; rnaseq; toll; humoral antibody; janus kinase; membrane receptor; monophenol monooxygenase; polypeptide antibiotic agent; prophenoloxidase; stat protein; sucrose; thioester; toll like receptor; transcription factor; unclassified drug; insect protein; transcriptome; article; blood; culicoides; culicoides sonorensis; digestive system; feeding; gene expression; humoral immunity; immune deficiency; innate immunity; intestine flora; nonhuman; reverse transcription polymerase chain reaction; signal transduction; upregulation; amino acid sequence; animal; ceratopogonidae; female; gene expression regulation; genetic association; genetics; humoral immunity; immunology; metabolism; molecular genetics; amino acid sequence; animals; ceratopogonidae; female; gene expression regulation; genetic association studies; immunity, humoral; insect proteins; molecular sequence data; signal transduction; transcriptome"
"The acidified drinking water-induced changes in the behavior and gut microbiota of wild-type mice depend on the acidification mode","Whipple B, Agar J, Zhao J, Pearce DA, Kovács AD",2021,"Article","10.1038/s41598-021-82570-0","Acidification of drinking water to a pH between 2.5 and 3.0 is widely used to prevent the spread of bacterial diseases in animal colonies. Besides hydrochloric acid (HCl), sulfuric acid (H2SO4) is also used to acidify drinking water. Here we examined the effects of H2SO4-acidified drinking water (pH = 2.8) received from weaning (postnatal day 21) on the behavior and gut microflora of 129S6/SvEv mice, a mouse strain commonly used in transgenic studies. In contrast to HCl-acidified water, H2SO4-acidified water only temporarily impaired the pole-descending ability of mice (at 3 months of age), and did not change the performance in an accelerating rotarod test. As compared to 129S6/SvEv mice receiving non-acidified or HCl-acidified drinking water, the gut microbiota of 129S6/SvEv mice on H2SO4-acidified water displayed significant alterations at every taxonomic level especially at 6 months of age. Our results demonstrate that the effects of acidified drinking water on the behavior and gut microbiota of 129S6/SvEv mice depends on the acid used for acidification. To shed some light on how acidified drinking water affects the physiology of 129S6/SvEv mice, we analyzed the serum and fecal metabolomes and found remarkable, acidified water-induced alterations. © 2021, The Author(s).","; "
"Exogenous and endogenous microbiomes of wild-caught Phormia regina (Diptera: Calliphoridae) flies from a suburban farm by 16S rRNA gene sequencing","Deguenon JM, Travanty N, Zhu J, Carr A, Denning S, Reiskind MH, Watson DW, Michael Roe R, Ponnusamy L",2019,"Article","10.1038/s41598-019-56733-z","The black blow fly, Phormia regina (Meigen) (Diptera: Calliphoridae) is one of the most abundant carrion flies in North America. Calliphorids are important in agriculture and animal production, veterinary sciences, forensics and medical entomology. While the role of flies in the epidemiology of human and animal diseases is an active area of research, little is known about the microorganisms associated with these insects. We examined the diversity of wild-caught black blow fly endogenous (internal body) and exogenous (external body) microbial communities using 16S rRNA gene sequencing. Overall, 27 phyla, 171 families and 533 genera were detected, and diversity was significantly higher (P < 0.05) on external body surfaces. At the genus level, Dysgonomonas, Ignatzschineria, Acinetobacter, Vagococcus, Myroides, and Wohlfahrtiimonas were predominant. Cloning and sequencing of nearly full-length fragments of the 16S rRNA gene showed that some of the species identified are known to be pathogenic to humans, animals, and plants. Myroides odoratimimus and Acinetobacter radioresistens are well-known, multi-drug resistant bacteria. These results provide a snapshot of the microbial communities harbored by adult black blow flies and call for more comprehensive studies to better characterize the role these flies may play in the transmission of pathogenic microorganisms. © 2019, The Author(s).","; rna 16s; agricultural land; animal; biodiversity; diptera; high throughput sequencing; human; metabolome; metabolomics; microbiology; microflora; phylogeny; procedures; animals; biodiversity; diptera; farms; high-throughput nucleotide sequencing; humans; metabolome; metabolomics; microbiota; phylogeny; rna, ribosomal, 16s"
"Lack of statistical power as a major limitation in understanding MHC-mediated immunocompetence in wild vertebrate populations","Gaigher A, Burri R, San-Jose LM, Roulin A, Fumagalli L",2019,"Article","10.1111/mec.15276","Disentangling the sources of variation in developing an effective immune response against pathogens is of major interest to immunoecology and evolutionary biology. To date, the link between immunocompetence and genetic variation at the major histocompatibility complex (MHC) has received little attention in wild animals, despite the key role of MHC genes in activating the adaptive immune system. Although several studies point to a link between MHC and immunocompetence, negative findings have also been reported. Such disparate findings suggest that limited statistical power might be affecting studies on this topic, owing to insufficient sample sizes and/or a generally small effect of MHC on the immunocompetence of wild vertebrates. To clarify this issue, we investigated the link between MHC variation and seven immunocompetence proxies in a large sample of barn owls and estimated the effect sizes and statistical power of this and published studies on this topic. We found that MHC poorly explained variation in immunocompetence of barn owls, with small-to-moderate associations between MHC and immunocompetence in owls (effect size:.1 ≥ r ≤.3) similar to other vertebrates studied to date. Such small-to-moderate effects were largely associated with insufficient power, which was only sufficient (>0.8) to detect moderate-to-large effect sizes (r ≥.3). Thus, studies linking MHC variation with immunocompetence in wild populations are underpowered to detect MHC effects, which are likely to be of generally small magnitude. Larger sample sizes (>200) will be required to achieve sufficient power in future studies aiming to robustly test for a link between MHC variation and immunocompetence. © 2019 John Wiley & Sons Ltd","birds; immunoecology; major histocompatibility complex; power analysis; adaptive immunity; allele; animal; genetic selection; genetic variation; genetics; immunocompetence; immunology; major histocompatibility complex; molecular evolution; owl; vertebrate; wild animal; adaptive immunity; alleles; animals; animals, wild; evolution, molecular; genetic variation; immunocompetence; major histocompatibility complex; selection, genetic; strigiformes; vertebrates"
"The potential of isolation source to predict colonization in avian hosts: A case study in Campylobacter jejuni strains from three bird species","Atterby C, Mourkas E, Méric G, Pascoe B, Wang H, Waldenström J, Sheppard SK, Olsen B, Järhult JD, Ellström P",2018,"Article","10.3389/fmicb.2018.00591","Campylobacter jejuni is the primary cause of bacterial gastroenteritis worldwide, infecting humans mostly through consumption of contaminated poultry. C. jejuni is common in the gut of wild birds, and shows distinct strain-specific association to particular bird species. This contrasts with farm animals, in which several genotypes co-exist. It is unclear if the barriers restricting transmission between host species of such specialist strains are related to environmental factors such as contact between host species, bacterial survival in the environment, etc., or rather to strain specific adaptation to the intestinal environment of specific hosts. We compared colonization dynamics in vivo between two host-specific C. jejuni from a song thrush (ST-1304 complex) and a mallard (ST-995), and a generalist strain from chicken (ST-21 complex) in a wild host, the mallard (Anas platyrhynchos). In 18-days infection experiments, the song thrush strain showed only weak colonization and was cleared from all birds after 10 days, whereas both mallard and chicken strains remained stable. When the chicken strain was given 4 days prior to co-infection of the same birds with a mallard strain, it was rapidly outcompeted by the latter. In contrast, when the mallard strain was given 4 days prior to co-infection with the chicken strain, the mallard strain remained and expansion of the chicken strain was delayed. Our results suggest strain-specific differences in the ability of C. jejuni to colonize mallards, likely associated with host origin. This difference might explain observed host association patterns in C. jejuni from wild birds. © 2018 Atterby, Mourkas, Méric, Pascoe, Wang, Waldenström, Sheppard, Olsen, Järhult and Ellström.","campylobacter; chicken; colonization; interspecies transmission; mallard; wild bird; "
"Intergenerational transmission of characters through genetics, epigenetics, microbiota, and learning in livestock","David I, Canario L, Combes S, Demars J",2019,"Article","10.3389/fgene.2019.01058","Evolutionary biologists studying wild species have demonstrated that genetic and non-genetic sources of information are inherited across generations and are therefore responsible for phenotypic resemblance between relatives. Although it has been postulated that non-genetic sources of inheritance are important in natural selection, they are not taken into account for livestock selection that is based on genetic inheritance only. According to the natural selection theory, the contribution of non-genetic inheritance may be significant for the transmission of characters. If this theory is confirmed in livestock, not considering non-genetic means of transmission in selection schemes might prevent achieving maximum progress in the livestock populations being selected. The present discussion paper reviews the different mechanisms of genetic and non-genetic inheritance reported in the literature as occurring in livestock species. Non-genetic sources of inheritance comprise information transmitted via physical means, such as epigenetic and microbiota inheritance, and those transmitted via learning mechanisms: behavioral, cultural and ecological inheritance. In the first part of this paper we review the evidence that suggests that both genetic and non-genetic information contribute to inheritance in livestock (i.e. transmitted from one generation to the next and causing phenotypic differences between individuals) and discuss how the environment may influence non-genetic inherited factors. Then, in a second step, we consider methods for favoring the transmission of non-genetic inherited factors by estimating and selecting animals on their extended transmissible value and/or introducing favorable non-genetic factors via the animals’ environment. © 2019 David, Canario, Combes and Demars.","behavior; culture; epigenetic; genetic; livestock; microbiota; non-genetic inheritance; adult; article; epigenetics; inheritance; learning; livestock; microflora; nonhuman"
"Lord of the Diptera (and Moths and a Spider): Molecular Diet Analyses and Foraging Ecology of Indiana Bats in Illinois","O'Rourke DR, Mangan MT, Mangan KE, Bokulich NA, MacManes MD, Foster JT",2021,"Article","10.3389/fevo.2021.623655","Effective management of endangered or threatened wildlife requires an understanding of how foraging habitats are used by those populations. Molecular diet analysis of fecal samples offers a cost-effective and non-invasive method to investigate how diets of wild populations vary with respect to spatial and temporal factors. For the federally endangered Indiana bat (Myotis sodalis), documenting its preferred food sources can provide critical information to promote effective conservation of this federally endangered species. Using cytochrome oxidase I amplicon sequence data from Indiana bat guano samples collected at two roosting areas in Cypress Creek National Wildlife Refuge, we found that dipteran taxa (i.e., flies) associated with riparian habitats were the most frequently detected taxon and represented the majority of the sequence diversity among the arthropods sampled. A select few arthropods from other taxa—especially spiders—are also likely important to Indiana bat diets in this refuge. A supervised learning analysis of diet components suggest only a small fraction of the frequently detected taxa are important contributors to spatial and temporal variation. Overall, these data depict the Indiana bat as a generalist consumer whose diet includes some prey items associated with particular seasonal or spatial components, along with other taxa repeatedly consumed throughout the entire foraging season. These molecular diet analyses suggest that protecting foraging resources specifically associated with the riparian habitat of Cypress Creek National Wildlife Refuge is essential to promote effective Indiana bat conservation. © Copyright © 2021 O'Rourke, Mangan, Mangan, Bokulich, MacManes and Foster.","animal diets; bat diet; cytochrome oxidase; metabarcoding; myotis sodalis; "
"Determining Mhc-DRB profiles in wild populations of three congeneric true lemur species by noninvasive methods","de Winter II, Qurkhuli T, de Groot N, de Vos-Rouweler AJM, van Hooft P, Heitkönig IMA, Prins HHT, Bontrop RE, Doxiadis GGM",2019,"Article","10.1007/s00251-018-1085-z","The major histocompatibility complex (MHC) is a highly polymorphic and polygenic genomic region that plays a crucial role in immune-related diseases. Given the need for comparative studies on the variability of immunologically important genes among wild populations and species, we investigated the allelic variation of MHC class II DRB among three congeneric true lemur species: the red-fronted lemur (Eulemur rufifrons), red-bellied lemur (Eulemur rubriventer), and black lemur (Eulemur macaco). We noninvasively collected hair and faecal samples from these species across different regions in Madagascar. We assessed DRB exon 2 polymorphism with a newly developed primer set, amplifying nearly all non-synonymous codons of the antigen-binding sites. We defined 26 DRB alleles from 45 individuals (17 alleles from E. rufifrons (N = 18); 5 from E. rubriventer (N = 7); and 4 from E. macaco (N = 20). All detected alleles are novel and show high levels of nucleotide (26.8%) and non-synonymous codon polymorphism (39.4%). In these lemur species, we found neither evidence of a duplication of DRB genes nor a sharing of alleles among sympatric groups or allopatric populations of the same species. The non-sharing of alleles may be the result of a geographical separation over a long time span and/or different pathogen selection pressures. We found dN/dS rates > 1 in the functionally important antigen recognition sites, providing evidence for balancing selection. Especially for small and isolated populations, quantifying and monitoring DRB variation are recommended to establish successful conservation plans that mitigate the possible loss of immunogenetic diversity in lemurs. © 2018, The Author(s).","balancing selection; eulemur; genetic diversity; major histocompatibility complex; polymorphism; nucleotide; hla dr antigen; allopatry; antibody combining site; antigen recognition; article; balancing selection; controlled study; eulemur macaco; eulemur rubriventer; eulemur rufifrons; feces analysis; gene duplication; gene sequence; genetic variability; hair analysis; lemuridae; madagascar; major histocompatibility complex; molecular cloning; non invasive procedure; nonhuman; phylogeny; priority journal; seasonal variation; social structure; species difference; allele; animal; exon; female; genetics; immunology; lemuridae; male; alleles; animals; exons; female; hla-dr beta-chains; lemur; male; phylogeny"
"The endogenous bacteria alter gut epithelial apoptosis and decrease mortality following pseudomonas aeruginosa pneumonia","Fox AC, McConnell KW, Yoseph BP, Breed E, Liang Z, Clark AT, O'Donnell D, Zee-Cheng B, Jung E, Dominguez JA, Dunne WM, Burd EM, Coopersmith CM",2012,"Article","10.1097/SHK.0b013e31826e47e8","The endogenous bacteria have been hypothesized to play a significant role in the pathophysiology of critical illness, although their role in sepsis is poorly understood. The purpose of this study was to determine how commensal bacteria alter the host response to sepsis. Conventional and germ-free (GF) C57Bl/6 mice were subjected to Pseudomonas aeruginosa pneumonia. All GF mice died within 2 days, whereas 44% of conventional mice survived for 7 days (P = 0.001). Diluting the dose of bacteria 10-fold in GF mice led to similar survival in GF and conventional mice. When animals with similar mortality were assayed for intestinal integrity, GF mice had lower levels of intestinal epithelial apoptosis but similar levels of proliferation and intestinal permeability. Germ-free mice had significantly lower levels of tumor necrosis factor and interleukin 1β in bronchoalveolar lavage fluid compared with conventional mice without changes in systemic cytokine production. Under conventional conditions, sepsis unmasks lymphocyte control of intestinal epithelial apoptosis, because sepsis induces a greater increase in gut apoptosis in Rag-1-/- mice than in wild-type mice. However, in a separate set of experiments, gut apoptosis was similar between septic GF Rag-1-/- mice and septic GF wild-type mice. These data demonstrate that the endogenous bacteria play a protective role in mediating mortality from pneumonia-induced sepsis, potentially mediated through altered intestinal apoptosis and the local proinflammatory response. In addition, sepsis-induced lymphocyte-dependent increases in gut epithelial apoptosis appear to be mediated by the endogenous bacteria. © 2012 by the Shock Society.","apoptosis; commensal microflora; endogenous bacteria; germ-free; gut; intestine; pneumonia; sepsis; fas antigen; gamma interferon; interleukin 10; interleukin 13; interleukin 1beta; interleukin 6; protein bax; protein bcl 2; protein bcl xl; protein bid; tumor necrosis factor; tumor necrosis factor receptor 1; animal cell; animal experiment; animal model; animal tissue; apoptosis; article; bacterial flora; bacterial immunity; cell proliferation; controlled study; cytokine production; dilution; intestine epithelium cell; intestine mucosa permeability; intestine villus; lung lavage; mortality; mouse; nonhuman; protein content; pseudomonas pneumonia; sepsis; survival time; wild type; animals; apoptosis; germ-free life; intestinal mucosa; mice; mice, knockout; pneumonia, bacterial; pseudomonas aeruginosa; pseudomonas infections; sepsis"
"Loss of protozoan and metazoan intestinal symbiont biodiversity in wild primates living in unprotected forests","Barelli C, Pafčo B, Manica M, Rovero F, Rosà R, Modrý D, Hauffe HC",2020,"Article","10.1038/s41598-020-67959-7","In light of the current biodiversity crisis, investigating the human impact on non-human primate gut biology is important to understanding the ecological significance of gut community dynamics across changing habitats and its role in conservation. Using traditional coproscopic parasitological techniques, we compared the gastrointestinal protozoan and metazoan symbiont richness of two primates: the Udzungwa red colobus (Procolobus gordonorum) and the yellow baboon (Papio cynocephalus). These species live sympatrically in both protected and unprotected forests within the Udzungwa Mountains of Tanzania with distinct ecological adaptations and diets. Our results showed that terrestrial and omnivorous yellow baboons had 2 (95% CI 1.47–2.73) and 3.78 (2.62–5.46) times higher gut symbiont richness (both including and excluding rare protozoans) compared to the arboreal and leaf-eating Udzungwa red colobus in unprotected and protected forest, respectively. We also found a consistent depletion of symbiont richness in red colobus living in the unprotected forest fragment compared to the continuous protected forests [the latter having 1.97 times (95% CI 1.33–2.92) higher richness], but not in yellow baboons. Richness reduction was particularly evident in the Udzungwa red colobus monkeys, confirming the pattern we reported previously for gut bacterial communities. This study demonstrates the impact of human activities even on the microbiodiversity of the intestinal tract of this species. Against the background of rapid global change and habitat degradation, and given the health benefits of intact gut communities, the decrease in natural gut symbionts reported here is worrying. Further study of these communities should form an essential part of the conservation framework. © 2020, The Author(s).","; animal experiment; article; biodiversity; colobus; controlled study; diet; eating; evolutionary adaptation; forest; gastrointestinal tract; global change; habitat; human; microbial community; nonhuman; papio cynocephalus; plant leaf; protozoon; symbiont; tanzania; amoebozoa; animal; baboon; biodiversity; colobus; ecosystem; feces; forest; helminth; human activities; intestine; species difference; symbiosis; trichostomatia; amoebida; animals; biodiversity; colobus; diet; ecosystem; feces; forests; helminths; human activities; intestines; papio; species specificity; symbiosis; tanzania; trichostomatida"
"Skin and gut microbiomes of a wild mammal respond to different environmental cues","Lavrinienko A, Tukalenko E, Mappes T, Watts PC",2018,"Article","10.1186/s40168-018-0595-0","Background: Animal skin and gut microbiomes are important components of host fitness. However, the processes that shape the microbiomes of wildlife are poorly understood, particularly with regard to exposure to environmental contaminants. We used 16S rRNA amplicon sequencing to quantify how exposure to radionuclides impacts the skin and gut microbiota of a small mammal, the bank vole Myodes glareolus, inhabiting areas within and outside the Chernobyl Exclusion Zone (CEZ), Ukraine. Results: Skin microbiomes of male bank voles were more diverse than females. However, the most pronounced differences in skin microbiomes occurred at a larger spatial scale, with higher alpha diversity in the skin microbiomes of bank voles from areas within the CEZ, whether contaminated by radionuclides or not, than in the skin microbiomes of animals from uncontaminated locations outside the CEZ, near Kyiv. Similarly, irrespective of the level of radionuclide contamination, skin microbiome communities (beta diversity) showed greater similarities within the CEZ, than to the areas near Kyiv. Hence, bank vole skin microbiome communities are structured more by geography than the level of soil radionuclides. This pattern presents a contrast with bank vole gut microbiota, where microbiomes could be strikingly similar among distant (~ 80 km of separation), uncontaminated locations, and where differences in microbiome community structure were associated with the level of radioactivity. We also found that the level of (dis)similarity between the skin and gut microbiome communities from the same individuals was contingent on the potential for exposure to radionuclides. Conclusions: Bank vole skin and gut microbiomes have distinct responses to similar environmental cues and thus are structured at different spatial scales. Our study shows how exposure to environmental pollution can affect the relationship between a mammalian host's skin and gut microbial communities, potentially homogenising the microbiomes in habitats affected by pollution. © 2018 The Author(s).","anthropogenic impact; biodiversity; ionising radiation; pollution; skin microbiome; wild mammal; cesium 137; radioisotope; rna 16s; radioisotope; rna 16s; actinobacteria; adult; article; association; bacteroidetes; body mass; community structure; controlled study; cyanobacterium; dna extraction; dosimetry; environmental exposure; female; firmicutes; gamma spectrometry; intestine flora; male; microbial community; multiplex polymerase chain reaction; myodes glareolus; nonhuman; priority journal; proteobacteria; radiation dose; skin flora; species richness; throat culture; animal; arvicolinae; bacterium; biodiversity; classification; genetics; geography; intestine flora; ionizing radiation; isolation and purification; microbiology; pollution; radiation response; skin; animals; arvicolinae; bacteria; biodiversity; environmental pollution; female; gastrointestinal microbiome; geography; male; radiation, ionizing; radioisotopes; rna, ribosomal, 16s; skin"
"Social influences on survival and reproduction: Insights from a long-term study of wild baboons","Alberts SC",2019,"Article","10.1111/1365-2656.12887","For social species, the environment has two components: physical and social. The social environment modifies the individual's interaction with the physical environment, and the physical environment may in turn impact individuals’ social relationships. This interplay can generate considerable variation among individuals in survival and reproduction. Here, I synthesize more than four decades of research on the baboons of the Amboseli basin in southern Kenya to illustrate how social and physical environments interact to affect reproduction and survival. For immature baboons, social behaviour can both mitigate and exacerbate the challenge of survival. Only c. 50% of live-born females and c. 44% of live-born males reach the median age of first reproduction. Variation in pre-adult survival, growth and development is associated with multiple aspects of the social environment. For instance, conspecifics provide direct care and are a major source of social knowledge about food and the environment, but conspecifics can also represent a direct threat to survival through infanticide. In adulthood, both competition (within and between social groups) and cooperative affiliation (i.e. collective action and/or the exchange of social resources such as grooming) are prominent features of baboon social life and have important consequences for reproduction and survival. For instance, adult females with higher social dominance ranks have accelerated reproduction, and adult females that engage in more frequent affiliative social interactions have higher survival throughout adulthood. The early life environment also has important consequences for adult reproduction and survival, as in a number of other bird and mammal species. In seasonal breeders, early life effects often apply to entire cohorts; in contrast, in nonseasonal and highly social species such as baboons, early life effects are more individual-specific, stemming from considerable variation not only in the early physical environment (even if they are born in the same year) but also in the particulars of their social environment. © 2018 The Authors. Journal of Animal Ecology published by John Wiley & Sons Ltd on behalf of British Ecological Society","baboons; early life effects; environmental effects; long-term study; primates; reproduction; social behavior; survival; age; competition (ecology); conspecific; environmental effect; primate; reproduction; social behavior; survival; wild population; amboseli basin; aves; mammalia; papio; primates; animal; baboon; female; kenya; male; reproduction; social behavior; social dominance; animals; female; kenya; male; papio; reproduction; social behavior; social dominance"
"Effects of myeloid Hif-1β deletion on the intestinal microbiota in mice under environmental hypoxia","Han N, Pan Z, Huang Z, Chang Y, Hou F, Liu G, Yang R, Bi Y",2021,"Article","10.1128/IAI.00474-20","External environmental factors can cause an imbalance in intestinal flora. For people living in the extremes of a plateau climate, lack of oxygen is a primary health challenge that leads to a series of reactions. We wondered how intestinal microorganisms might change in a simulated plateau environment and what changes might occur in the host organism and intestinal microorganisms in the absence of hypoxia-related factors. In this study, mice carrying a knockout of hypoxia-inducible factor 1β (Hif-1β) in myeloid cells and wild-type mice were raised in a composite hypoxic chamber to simulate a plateau environment at 5,000 m of elevation for 14 days. The mice carrying the myeloid Hif-1β deletion displayed aggravated hypoxic phenotypes in comparison to and significantly greater weight loss and significantly higher cardiac index values than the wild-type group. The levels of some cytokines increased in the hypoxic environment. Analysis of 16S rRNA sequencing results showed that hypoxia had a significant effect on the gut microbiota in both wild-type and Hif-1β-deficient mice, especially on the first day. The levels of members of the Bacteroidaceae family increased continuously from day 1 to day 14 in Hif-1β deletion mice, and they represented an obviously different group of bacteria at day 14 compared with the wild-type mice. Butyrate-producing bacteria, such as Butyricicoccus, were found in wild-type mice only after 14 days in the hypoxic environment. In conclusion, hypoxia caused heart enlargement, greater weight loss, and obvious microbial imbalance in myeloid Hif-1β-deficient mice. This study revealed genetic and microecological pathways for research on mechanisms of hypoxia. © 2020 American Society for Microbiology. All Rights Reserved.","gut microbiota; hif-1β; hypoxia; imbalance; imbalance; myeloid cell; cytokine; hypoxia inducible factor 1beta; rna 16s; bacterial dna; bacterial rna; butyric acid; gamma interferon; genomic dna; granulocyte macrophage colony stimulating factor; hemoglobin; hypoxia inducible factor 1beta; interleukin 12p70; interleukin 13; interleukin 17; interleukin 19; interleukin 1beta; interleukin 2; interleukin 22; interleukin 23; interleukin 27; interleukin 4; interleukin 5; interleukin 6; interleukin 9; probiotic agent; tumor necrosis factor; animal experiment; animal model; article; bacteroidaceae; body weight loss; bone marrow cell; cardiac index; cardiomegaly; controlled study; data analysis software; deletion mutant; disease simulation; female; gene deletion; hypoxia; intestine flora; mouse; nonhuman; phenotype; priority journal; rna sequencing; alloprevotella; anaeroplasma; animal tissue; bacteroides; barnesiella; clostridium; cytokine release; dysbiosis; erythrocyte count; heart ventricle hypertrophy; helicobacter; hematocrit; lactobacillus; mollicutes; parasutterella; proteobacteria; reverse transcription polymerase chain reaction; ruminococcus; wild type"
"Pseudomonas fluorescens alters the intestinal barrier function by modulating IL-1b expression through hematopoietic NOD2 signaling","Alnabhani Z, Montcuquet N, Biaggini K, Dussaillant M, Roy M, Ogier-Denis E, Madi A, Jallane A, Feuilloley M, Hugot J-P, Connil N, Barreau F",2015,"Article","10.1097/MIB.0000000000000291","Background: Ileal Crohn's disease is related to NOD2 mutations and to a gut barrier dysfunction. Pseudomonas fluorescens has also been associated with ileal Crohn's disease. The aim of this study was to determine the impact of P. fluorescens on the paracellular permeability in ileum and Peyer's patches. Methods: To explore this question, in vivo and ex vivo experiments were performed in wild-type, Nod2-/-, Nod22939iC, and IL-1R-/- mice together with in vitro analyses using the Caco-2 (epithelial) and the THP-1 (monocyte) human cell lines. Results: Pseudomonas fluorescens increased the paracellular permeability of the intestinal mucosa through the secretion of IL-1β by the immune cell populations and the activation of myosin light chain kinase in the epithelial cells. Induction of the IL-1β pathway required the expression of Nod2 in the hematopoietic compartment, and muramyl dipeptide (a Nod2 ligand) had an inhibitory effect. Conclusions: Pseudomonas fluorescens thus alters the homeostasis of the epithelial barrier function by a mechanism similar to that previously observed for Yersinia pseudotuberculosis. This work further documents a putative role of psychrotrophic bacteria in Crohn's disease. Copyright © 2015 Crohn's & Colitis Foundation of America, Inc.","il-1b; myosin light chain kinase; nod2; paracellular permeability; pseudomonas fluorescens; caspase recruitment domain protein 15; interleukin 1beta; muramyl dipeptide; myosin light chain kinase; card15 protein, mouse; caspase recruitment domain protein 15; interleukin 1 receptor; interleukin 1beta; messenger rna; animal cell; article; caco 2 cell line; cell population; controlled study; epithelium cell; ex vivo study; homeostasis; human; human cell; ileum; immunocompetent cell; in vivo study; intestine mucosa permeability; mouse; nonhuman; peyer patch; priority journal; pseudomonas fluorescens; wild type; animal; c57bl mouse; cell culture; cell membrane permeability; cytology; genetics; hematopoietic stem cell; intestine mucosa; knockout mouse; macrophage; metabolism; microbiology; physiology; pseudomonas fluorescens; real time polymerase chain reaction; reverse transcription polymerase chain reaction; signal transduction; western blotting; animals; blotting, western; caco-2 cells; cell membrane permeability; cells, cultured; hematopoietic stem cells; humans; interleukin-1beta; intestinal mucosa; macrophages; mice; mice, inbred c57bl; mice, knockout; nod2 signaling adaptor protein; pseudomonas fluorescens; real-time polymerase chain reaction; receptors, interleukin-1; reverse transcriptase polymerase chain reaction; rna, messenger; signal transduction"
"Modulators of mercury risk to wildlife and humans in the context of rapid global change","Eagles-Smith CA, Silbergeld EK, Basu N, Bustamante P, Diaz-Barriga F, Hopkins WA, Kidd KA, Nyland JF",2018,"Article","10.1007/s13280-017-1011-x","Environmental mercury (Hg) contamination is an urgent global health threat. The complexity of Hg in the environment can hinder accurate determination of ecological and human health risks, particularly within the context of the rapid global changes that are altering many ecological processes, socioeconomic patterns, and other factors like infectious disease incidence, which can affect Hg exposures and health outcomes. However, the success of global Hg-reduction efforts depends on accurate assessments of their effectiveness in reducing health risks. In this paper, we examine the role that key extrinsic and intrinsic drivers play on several aspects of Hg risk to humans and organisms in the environment. We do so within three key domains of ecological and human health risk. First, we examine how extrinsic global change drivers influence pathways of Hg bioaccumulation and biomagnification through food webs. Next, we describe how extrinsic socioeconomic drivers at a global scale, and intrinsic individual-level drivers, influence human Hg exposure. Finally, we address how the adverse health effects of Hg in humans and wildlife are modulated by a range of extrinsic and intrinsic drivers within the context of rapid global change. Incorporating components of these three domains into research and monitoring will facilitate a more holistic understanding of how ecological and societal drivers interact to influence Hg health risks. © 2018, The Author(s).","asgm; biomagnification; fisheries; immunotoxicity; invasive species; microbiome; selenium; bioaccumulation; biomonitoring; complexity; disease incidence; global change; health risk; infectious disease; invasive species; mercury (element); pollution effect; pollution exposure; public health; selenite; selenium; toxicity; wild population; mercury; animal; environmental monitoring; food chain; human; pharmacokinetics; risk; toxicity; water pollutant; wild animal; animals; animals, wild; environmental monitoring; food chain; humans; mercury; risk; water pollutants, chemical"
